name,description,CategoryName,img,options,featured,quantity
Full Voile PAGG CC1 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751431881/CC_1_fie0nq.jpg,"[ { ""1"": ""45"" } ]",FALSE,10
Full Voile PAGG CC3 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751431881/CC_3_mmop7p.jpg,"[ { ""1"": ""45"" } ]",FALSE,10
