name,description,CategoryName,img,options,featured,quantity
Full Voile PAGG CC22 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751432540/CC_22_ep6mxr.jpg,"[ { ""1"": ""45"" } ]",FALSE,10
Full Voile PAGG CC10 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751432540/CC_10_ivuumu.jpg,"[ { ""1"": ""45"" } ]",FALSE,10
Full Voile PAGG CC28 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751432540/CC_28_pmacui.jpg,"[ { ""1"": ""45"" } ]",FALSE,10
Full Voile PAGG CC15 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751432541/CC_15_npgozc.jpg,"[ { ""1"": ""45"" } ]",FALSE,10
Full Voile PAGG CC20 | Ek Dastar,,Turban,https://res.cloudinary.com/dxwge5g8f/image/upload/v1751432542/CC_20_ppgl8n.jpg,"[ { ""1"": ""45"" } ]",FALSE,10
